149;Карачаево-Черкесская Республика;Черкесск - Новороссийск;641;"ЗАО ""АПСНЫ""";11.08.2008;09-23;Краснодарский край;23
150;Волгоградская обл;Волгоград - Геленджик;560;"ИП ""Никишкина В.С.""";28.08.2008;34-39;Краснодарский край;23
151;Краснодарский край;Мостовской - Новочеркасск;541;"ООО ТПК ""Глобус-Авто""";15.09.2008;23-39;Ростовская обл;61
152;Республика Дагестан;Яраг Казмаляр - Сочи;705;"Дербентское ПАТП ГУП ""Дагавтотранс""";16.10.2008;05-17;Краснодарский край;23
153;Пензенская обл;Пенза - Петровск;549;"ИП ""Шмирейчик В.А.""";19.09.2008;58-23;Саратовская обл;64
154;Курская обл;Курск - Москва (Курский ж/д вокзал);544;"ИП ""Зайцева И.А.""";24.11.2008;46-17;Москва;77
155;Краснодарский край; Краснодар - Горячий Ключ ;325;"ООО ""Кубань УРС авто""";03.12.2008;23-47;Краснодарский край;23
156;Республика Хакасия;Абакан - Минусинск;120;"ООО ""Транс-Сервис""";17.02.2009;19-06;Красноярский край;24
157;Республика Дагестан;Сочи - Яраг Казмаляр;705;"ИП ""Шихкамалов Б.Р.""";24.02.2009;05-48;Краснодарский край;23
158;Москва;Москва (Курский Ж/Д вокзал)- Нижний Новгород;921;"ОАО ""Трантурсервис""";03.03.2009;77-40;Нижегородская обл;52
159;Москва;Москва (АС Красногвардейская) - Орел;976;"ООО ""Вестлайн""";30.03.2009;77-53;Орловская обл;57
160;Москва;Москва (Красногвардейская АС) - Сочи;265;"ООО ""Автоколонна 1515"", ИП ""Слинько Д.И.""";22.04.2009;77-54;Краснодарский край;23
161;Москва;Москва - Майкоп;535;"ООО ""Сатурн-Трэвел""";07.07.2009;77-56;Республика Адыгея;1
162;Краснодарский край;Славянск-на-Кубани - Ростов-на-Дону;744;"ИП ""Сорочан А.И.""";08.07.2009;23-56;Ростовская обл;61
163;Краснодарский край;Адлер - Воронеж;800;"ООО ""Сочинское ПАТП -3""";08.07.2009;23-42;Воронежская обл;36
164;Краснодарский край;Сочи - Волгодонск;557;"ООО ""Сочинское ПАТП -3""";08.07.2009;23-42;Ростовская обл;61
165;Краснодарский край;Апшерон - Ростов-на-Дону;524;"ИП ""Морланг В.Х.""";08.07.2009;23-57;Ростовская обл;61
166;Краснодарский край;Белореченск - Волжский;533;"ИП ""Головков Е.В.""";08.07.2009;23-59;Волгоградская обл;34
167;Ростовская обл;Новочеркасск - Мостовской;541;"ОАО """"Новочеркасское ПОПАТ""";17.09.2009;61-23;Краснодарский край;23
168;Санкт-Петербург;Санкт-Петербург - Каменка;837;"ИП ""Большаков П.Г.""";29.10.2009;78-08;Ленинградская обл;47
169;Ставропольский край;Красномихайловка - Ставрополь;721 А;"ИП ""Теслин И.Я."", ИП ""Теслин А.И.""";06.11.2009;26-126;Республика Калмыкия;8
170;Красноярский край;Минусинск - Абакан;120;"ООО ""Минусинскавтотранс""";08.12.2009;24-35;Республика Хакасия;19
171;Республика Дагестан;Дербент - Сочи;969;"ООО ""Глобус""";20.01.2010;05-55;Краснодарский край;23
172;Республика Дагестан;Махачкала - Новошахтинск;921;"ООО ""Глобус""";20.01.2010;05-55;Ростовская обл;61
173;Республика Дагестан; Каспийск - Ростов на Дону ;974;"ООО ""Глобус""";12.02.2010;05-55;Ростовская обл;61
174;Тульская обл;Тула - Тамбов ;202;АК 1809;11.11.2005;71-27;Тамбовская обл;68
175;Тульская обл;Тула - Орел ;210;АК 1809;11.11.2005;71-23;Орловская обл;57
176;Тульская обл;Тула - Липецк ;204;АК 1809;11.11.2005;71-26;Липецкая обл;48
177;Тульская обл;Тула - Воронеж ;203;АК 1809;11.11.2005;71-25;Воронежская обл;36
178;Тульская обл;Тула - Смоленск ;601;АК 1809;11.11.2005;71-24;Смоленская обл;67
179;Тульская обл;Тула - Брянск;501;АК 1809;17.11.2006;71-42-501;Брянская обл;32
